doc_id,url,title,description
0,https://www.wikipedia.org/wiki/Google,Google - Wikipedia,Google - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Contribute Help Learn to edit Communi...
1,https://news.ycombinator.com/,Hacker News,"Hacker News Hacker News new | past | comments | ask | show | jobs | submit login 1. Show HN: Goboscript, text-based programming language, compiles to Scratch ( github.com/aspizu ) 71 points by aspizu ..."
2,https://www.bbc.com/news/world,World | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about the World from across the BBC."
3,https://dsb.wikipedia.org/wiki/Google,Google – Wikipedija,Google – Wikipedija K wobsahej skočić Hauptmenü Hauptmenü Do bóčnicy přesunyć schować Nawigacija Głowny bok Portal Wikipedije Aktualne změny Pśipadny nastawk Pomoc Pytaś Pytaś Napohlad Pósćiś Konto za...
4,https://www.wikipedia.org/wiki/Special:Search,Search - Wikipedia,Search - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Contribute Help Learn to edit Communi...
5,https://ks.wikipedia.org/wiki/%DA%AF%D9%88%D9%97%DA%AF%D9%8F%D9%84,گوٗگُل - وِکیٖپیٖڈیا,گوٗگُل - وِکیٖپیٖڈیا مَوادَس کُن گٔژھِو اَہَم مینیو اَہَم مینیو اَنٛد کُن تھٲوِو کٔھٹِتھ رَہنُمٲیی اَہَم صَفہٕ کانٛہہ تہِ صفہٕ وِکیٖپیٖڈیاہَس مُتلِق رأبطہٕ صَفہٕ Interaction مَدَتھ اؠسَمبَلی چوک نَوِ ...
6,https://ee.wikipedia.org/wiki/Google,Google - Wikipedia,Google - Wikipedia Jump to content Menu vevitɔ Menu vevitɔ move to sidebar ɣla Kuɖɔɖoɖo Axa gbãtɔ Godoƒe Tɔtrɔ yeyeawo Axa aɖe ko Kpekpeɖeŋu Axa tɔxewo Dii Dii Dzedzeme Wɔ nunana Kpe ezazãŋkɔŋɔŋlɔ ɖo ...
7,https://www.wikipedia.org/wiki/Special:MyTalk,User talk:103.211.54.24 - Wikipedia,User talk:103.211.54.24 - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Contribute Help Lear...
8,https://www.wikipedia.org/wiki/Special:Random,Saifuzzaman Chowdhury - Wikipedia,Saifuzzaman Chowdhury - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us Contribute Help Learn ...
9,https://dv.wikipedia.org/wiki/%DE%8E%DE%AB%DE%8E%DE%B0%DE%8D%DE%B0,ގޫގްލް - ވިކިޕީޑިއާ,ގޫގްލް - ވިކިޕީޑިއާ Jump to content Main menu Main menu move to sidebar ފޮރުއްވާ ސަމުގާ މައި ޞަފްޙާ އާންމު ހޮޅުއަށި ފަހު ބަދަލުތައް ކޮންމެވެސް ޞަފްޙާއެއް އެހީ ހޯއްދަވާ ހޯއްދަވާ Appearance ޚައިރާތުތައް...
